,tpv medio,segmento_ord,mcc_ord,bairro_ord,cidade_ord,regiao_ord,uf_ord,subcanal_de_vendas_ord,prob_default_60d,prob_default_mar,estimativa_limite,estimativa_juros_parcelados,estimativa_juros_rotativo
3573,32000.0,5,83,1295,346,3,14,2,0.8215569195378668,0.7365157879323613,30788.494,3.3997614,8.499403595924377
3574,30000.0,5,1,149,39,1,8,2,0.9036571007705958,0.9331285200452369,26640.03,3.0598881,7.649720311164856
3575,30000.0,24,113,353,394,3,15,2,0.9866524180538141,0.9911054771342402,21452.127,3.2251751,8.06293785572052
3576,20000.0,21,108,1295,65,3,13,2,0.9501672178856335,0.9633609944964502,18415.293,4.279256,10.698139667510986
3577,20000.0,18,11,1366,449,5,24,2,0.827782212485728,0.9238536919776101,21306.154,3.705265,9.263162612915039
3578,60000.0,20,101,1188,327,3,15,2,0.7777098622557954,0.9074901460612667,46705.555,2.096146,5.240365266799927
3579,20000.0,17,32,1000,6,3,14,1,0.9085318628172855,0.94556834870757,15823.281,4.1781263,10.445315837860107
3580,35000.0,21,108,1295,24,1,16,2,0.8304453012182723,0.9785824333244432,33379.207,3.6480002,9.12000060081482
3581,20000.0,6,77,1407,405,3,15,2,0.7567119322316556,0.8357387583802897,16529.705,3.551223,8.878057599067688
3582,20000.0,1,82,185,370,3,15,2,0.9758144223518049,0.9664494451271821,21949.756,3.352097,8.380242586135864
3583,15000.0,14,87,188,385,3,14,2,0.9787652822197881,0.9791701316259762,13886.179,4.5352464,11.338115930557251
3584,27000.0,17,2,131,371,1,8,2,0.8956013575115874,0.9341618499058956,27035.574,2.894757,7.236892580986023
3585,20000.0,25,120,1295,411,5,5,2,0.8223262338947482,0.8935276307712806,16822.107,4.0368633,10.092158317565918
3586,60000.0,14,139,1690,478,3,15,2,0.47641562455181735,0.47554058068259275,55001.777,2.420278,6.050695180892944
3587,70000.0,10,92,1317,372,4,10,2,0.8176181628744844,0.7672974551663184,51173.758,1.9457797,4.864449203014374
3588,62000.0,13,98,15,366,1,8,2,0.9780965264177861,0.9853220065202165,52055.56,3.3905954,8.476488590240479
